bucket_H,total_partidos,empates,avg_H,avg_D,avg_A,draw_rate
<1.50,95,12,1.3832631578947368,4.516947368421053,9.005263157894737,0.12631578947368421
1.50-1.79,660,180,1.6539090909090908,3.5730454545454546,5.773106060606061,0.2727272727272727
1.80-1.99,624,176,1.877724358974359,3.2718108974358975,4.4890384615384615,0.28205128205128205
2.00-2.19,700,217,2.071,3.131942857142857,3.8737142857142857,0.31
2.20-2.49,843,285,2.319810201660735,3.054567022538553,3.322158956109134,0.33807829181494664
2.50-2.79,521,188,2.6090786948176583,2.997120921305182,2.91236084452975,0.36084452975047987
2.80-3.19,319,108,2.961347962382445,3.0083385579937305,2.5733542319749216,0.3385579937304075
3.20-3.59,171,49,3.3110526315789475,3.025672514619883,2.3585380116959063,0.28654970760233917
3.60-3.99,73,18,3.6972602739726024,3.137123287671233,2.1223287671232876,0.2465753424657534
≥4.00,114,34,4.8276315789473685,3.373245614035088,1.8385964912280701,0.2982456140350877
