bin,n,draws,draw_rate_%,prob_low_%,prob_high_%,avg_home_odds,avg_draw_odds,ev_est,enough_n
≤1.40,308,46.0,14.94,11.39,19.35,1.3,5.498,-0.1789,True
1.40–1.60,312,70.0,22.44,18.16,27.38,1.518,4.201,-0.0575,True
1.60–1.80,325,77.0,23.69,19.39,28.61,1.708,3.816,-0.0958,True
1.80–2.00,282,83.0,29.43,24.42,35.0,1.916,3.59,0.0566,True
2.00–2.25,284,90.0,31.69,26.55,37.32,2.147,3.468,0.0989,True
2.25–2.50,213,65.0,30.52,24.72,37.0,2.399,3.412,0.0413,True
2.50–3.00,342,85.0,24.85,20.57,29.7,2.761,3.402,-0.1544,True
3.00–4.00,380,96.0,25.26,21.16,29.86,3.482,3.537,-0.1063,True
4.00–5.00,155,38.0,24.52,18.41,31.85,4.532,3.809,-0.0662,True
>5.00,130,22.0,16.92,11.45,24.3,6.367,4.396,-0.256,True
