bin,n,draws,draw_rate_%,prob_low_%,prob_high_%,avg_home_odds,avg_draw_odds,ev_est,enough_n
≤1.40,61,7.0,11.48,5.67,21.84,1.354,5.107,-0.414,True
1.40–1.60,188,39.0,20.74,15.56,27.1,1.531,4.213,-0.1261,True
1.60–1.80,377,103.0,27.32,23.07,32.03,1.712,3.827,0.0456,True
1.80–2.00,449,142.0,31.63,27.5,36.07,1.929,3.575,0.1307,True
2.00–2.25,543,155.0,28.55,24.91,32.48,2.154,3.435,-0.0194,True
2.25–2.50,529,139.0,26.28,22.71,30.19,2.389,3.366,-0.1155,True
2.50–3.00,468,132.0,28.21,24.32,32.45,2.768,3.394,-0.0427,True
3.00–4.00,355,94.0,26.48,22.16,31.3,3.448,3.496,-0.0743,True
4.00–5.00,64,19.0,29.69,19.9,41.77,4.529,3.838,0.1394,True
>5.00,23,6.0,26.09,12.55,46.47,6.228,4.485,0.1699,False
