bin,n,draws,draw_rate_%,prob_low_%,prob_high_%,avg_home_odds,avg_draw_odds,ev_est,enough_n
≤1.40,591,90.0,15.23,12.56,18.35,1.261,6.711,0.0221,True
1.40–1.60,295,70.0,23.73,19.23,28.9,1.51,4.425,0.05,True
1.60–1.80,350,71.0,20.29,16.41,24.81,1.704,3.902,-0.2084,True
1.80–2.00,325,81.0,24.92,20.53,29.9,1.921,3.626,-0.0963,True
2.00–2.25,370,106.0,28.65,24.28,33.46,2.143,3.455,-0.0102,True
2.25–2.50,347,104.0,29.97,25.39,34.99,2.402,3.379,0.0126,True
2.50–3.00,464,142.0,30.6,26.58,34.94,2.764,3.375,0.0327,True
3.00–4.00,392,98.0,25.0,20.97,29.52,3.5,3.524,-0.1191,True
4.00–5.00,219,50.0,22.83,17.77,28.83,4.552,3.871,-0.1163,True
>5.00,447,74.0,16.55,13.4,20.28,7.931,4.917,-0.186,True
