bin,n,draws,draw_rate_%,prob_low_%,prob_high_%,avg_home_odds,avg_draw_odds,ev_est,enough_n
≤1.40,46,3.0,6.52,2.24,17.5,1.326,4.919,-0.6792,True
1.40–1.60,192,31.0,16.15,11.61,22.01,1.521,3.903,-0.3698,True
1.60–1.80,452,107.0,23.67,19.99,27.8,1.716,3.475,-0.1775,True
1.80–2.00,554,159.0,28.7,25.09,32.6,1.923,3.243,-0.0693,True
2.00–2.25,652,186.0,28.53,25.2,32.11,2.151,3.11,-0.1128,True
2.25–2.50,548,196.0,35.77,31.87,39.87,2.405,3.04,0.0872,True
2.50–3.00,607,207.0,34.1,30.44,37.96,2.759,3.034,0.0347,True
3.00–4.00,445,119.0,26.74,22.84,31.04,3.427,3.119,-0.166,True
4.00–5.00,90,20.0,22.22,14.87,31.85,4.472,3.344,-0.2569,True
>5.00,29,5.0,17.24,7.6,34.55,5.698,3.818,-0.3417,False
