bin,n,draws,draw_rate_%,prob_low_%,prob_high_%,avg_home_odds,avg_draw_odds,ev_est,enough_n
≤1.40,417,49.0,11.75,9.0,15.2,1.241,6.147,-0.2777,True
1.40–1.60,187,38.0,20.32,15.18,26.66,1.521,3.832,-0.2212,True
1.60–1.80,199,59.0,29.65,23.74,36.33,1.715,3.452,0.0234,True
1.80–2.00,253,85.0,33.6,28.06,39.62,1.918,3.274,0.1001,True
2.00–2.25,275,100.0,36.36,30.9,42.2,2.155,3.161,0.1493,True
2.25–2.50,259,101.0,39.0,33.26,45.06,2.403,3.076,0.1996,True
2.50–3.00,207,69.0,33.33,27.27,40.01,2.76,3.06,0.0199,True
3.00–4.00,177,49.0,27.68,21.62,34.7,3.506,3.162,-0.1245,True
4.00–5.00,84,26.0,30.95,22.08,41.49,4.592,3.341,0.0342,True
>5.00,303,63.0,20.79,16.6,25.71,8.559,4.479,-0.0686,True
