bin,n,draws,draw_rate_%,prob_low_%,prob_high_%,avg_draw_odds,ev_est,enough_n
≤2.25,7,5.0,71.43,35.89,91.78,1.87,0.3357,False
2.25–2.50,1,0.0,0.0,0.0,79.35,2.5,-1.0,False
2.50–2.75,20,7.0,35.0,18.12,56.71,2.698,-0.0557,False
2.75–3.00,740,260.0,35.14,31.78,38.64,2.97,0.0436,True
3.00–3.25,1559,541.0,34.7,32.38,37.1,3.16,0.0967,True
3.25–3.50,884,260.0,29.41,26.5,32.5,3.383,-0.005,True
3.50–4.00,365,87.0,23.84,19.75,28.47,3.722,-0.1128,True
4.00–5.00,66,15.0,22.73,14.29,34.17,4.351,-0.0111,True
5.00–6.00,6,2.0,33.33,9.68,70.0,5.542,0.8472,False
>6.00,2,0.0,0.0,0.0,65.76,6.5,-1.0,False
