bin,n,draws,draw_rate_%,prob_low_%,prob_high_%,avg_home_odds,avg_draw_odds,ev_est,enough_n
≤1.40,37,10.0,27.03,15.4,42.98,1.341,4.749,0.2836,True
1.40–1.60,193,49.0,25.39,19.77,31.97,1.532,3.84,-0.0252,True
1.60–1.80,490,131.0,26.73,23.01,30.82,1.716,3.493,-0.0662,True
1.80–2.00,595,181.0,30.42,26.86,34.23,1.927,3.277,-0.003,True
2.00–2.25,733,278.0,37.93,34.49,41.49,2.146,3.157,0.1972,True
2.25–2.50,592,192.0,32.43,28.79,36.31,2.398,3.081,-0.0007,True
2.50–3.00,589,206.0,34.97,31.23,38.91,2.76,3.07,0.0737,True
3.00–4.00,355,116.0,32.68,28.01,37.72,3.417,3.162,0.0331,True
4.00–5.00,51,11.0,21.57,12.49,34.63,4.471,3.419,-0.2626,True
>5.00,15,3.0,20.0,7.05,45.19,6.65,3.731,-0.2537,False
