bin,n,draws,draw_rate_%,prob_low_%,prob_high_%,avg_home_odds,avg_draw_odds,ev_est,enough_n
≤1.40,540,82.0,15.19,12.4,18.46,1.237,6.906,0.0487,True
1.40–1.60,259,67.0,25.87,20.92,31.53,1.509,4.328,0.1196,True
1.60–1.80,303,71.0,23.43,19.01,28.52,1.704,3.879,-0.0912,True
1.80–2.00,279,60.0,21.51,17.09,26.7,1.932,3.609,-0.2239,True
2.00–2.25,292,88.0,30.14,25.16,35.63,2.149,3.495,0.0532,True
2.25–2.50,228,62.0,27.19,21.83,33.31,2.392,3.436,-0.0657,True
2.50–3.00,286,87.0,30.42,25.38,35.98,2.771,3.475,0.057,True
3.00–4.00,302,75.0,24.83,20.3,30.0,3.484,3.611,-0.1033,True
4.00–5.00,147,39.0,26.53,20.06,34.2,4.552,3.923,0.0408,True
>5.00,349,66.0,18.91,15.15,23.35,8.443,5.354,0.0126,True
