bin,n,draws,draw_rate_%,prob_low_%,prob_high_%,avg_home_odds,avg_draw_odds,ev_est,enough_n
≤1.40,486,39.0,8.02,5.93,10.78,1.222,6.469,-0.4809,True
1.40–1.60,140,37.0,26.43,19.82,34.29,1.513,4.061,0.0732,True
1.60–1.80,177,39.0,22.03,16.56,28.7,1.717,3.577,-0.2119,True
1.80–2.00,334,111.0,33.23,28.4,38.45,1.935,3.326,0.1052,True
2.00–2.25,496,149.0,30.04,26.17,34.22,2.148,3.199,-0.0389,True
2.25–2.50,403,115.0,28.54,24.35,33.13,2.402,3.131,-0.1065,True
2.50–3.00,314,98.0,31.21,26.34,36.54,2.751,3.147,-0.0178,True
3.00–4.00,189,53.0,28.04,22.12,34.83,3.496,3.25,-0.0885,True
4.00–5.00,100,19.0,19.0,12.51,27.78,4.635,3.651,-0.3064,True
>5.00,419,70.0,16.71,13.44,20.58,8.307,4.709,-0.2134,True
