bin,n,draws,draw_rate_%,prob_low_%,prob_high_%,avg_home_odds,avg_draw_odds,ev_est,enough_n
≤1.40,281,38.0,13.52,10.01,18.02,1.213,6.918,-0.0644,True
1.40–1.60,107,23.0,21.5,14.77,30.19,1.519,4.094,-0.12,True
1.60–1.80,175,36.0,20.57,15.25,27.16,1.717,3.702,-0.2384,True
1.80–2.00,191,54.0,28.27,22.36,35.04,1.924,3.465,-0.0204,True
2.00–2.25,227,62.0,27.31,21.93,33.45,2.15,3.346,-0.086,True
2.25–2.50,226,64.0,28.32,22.84,34.52,2.395,3.294,-0.0672,True
2.50–3.00,278,81.0,29.14,24.11,34.73,2.749,3.286,-0.0425,True
3.00–4.00,187,58.0,31.02,24.82,37.97,3.498,3.378,0.0477,True
4.00–5.00,68,18.0,26.47,17.45,38.01,4.574,3.696,-0.0216,True
>5.00,261,47.0,18.01,13.82,23.12,9.3,5.302,-0.0453,True
