bin,n,draws,draw_rate_%,prob_low_%,prob_high_%,avg_home_odds,avg_draw_odds,ev_est,enough_n
≤1.40,58,9.0,15.52,8.38,26.93,1.331,4.777,-0.2587,True
1.40–1.60,253,60.0,23.72,18.89,29.33,1.534,3.83,-0.0916,True
1.60–1.80,646,178.0,27.55,24.25,31.12,1.72,3.456,-0.0477,True
1.80–2.00,793,232.0,29.26,26.2,32.52,1.928,3.235,-0.0535,True
2.00–2.25,958,310.0,32.36,29.47,35.39,2.145,3.115,0.008,True
2.25–2.50,749,260.0,34.71,31.39,38.19,2.4,3.039,0.0549,True
2.50–3.00,668,230.0,34.43,30.93,38.11,2.747,3.006,0.0349,True
3.00–4.00,361,107.0,29.64,25.16,34.55,3.39,3.057,-0.094,True
4.00–5.00,56,15.0,26.79,16.96,39.59,4.421,3.232,-0.1344,True
>5.00,40,10.0,25.0,14.19,40.19,6.15,3.796,-0.0511,True
