bin,n,draws,draw_rate_%,prob_low_%,prob_high_%,avg_home_odds,avg_draw_odds,ev_est,enough_n
≤1.40,310,39.0,12.58,9.34,16.74,1.297,5.63,-0.2917,True
1.40–1.60,299,53.0,17.73,13.81,22.46,1.506,4.221,-0.2517,True
1.60–1.80,377,97.0,25.73,21.58,30.37,1.717,3.712,-0.0449,True
1.80–2.00,442,147.0,33.26,29.03,37.78,1.929,3.493,0.1616,True
2.00–2.25,492,139.0,28.25,24.45,32.39,2.147,3.388,-0.0427,True
2.25–2.50,378,98.0,25.93,21.77,30.57,2.384,3.303,-0.1438,True
2.50–3.00,403,126.0,31.27,26.93,35.95,2.759,3.313,0.0359,True
3.00–4.00,370,96.0,25.95,21.74,30.64,3.487,3.474,-0.0986,True
4.00–5.00,150,34.0,22.67,16.7,30.0,4.587,3.776,-0.1442,True
>5.00,130,16.0,12.31,7.72,19.06,6.883,4.535,-0.4418,True
